W,total_columns,coverage,MAE,Bias,Std,CI95_lower,CI95_upper,MaxAbsError,image,threshold
2560,2560,1.0,5.4125,-2.109375,8.93910131048731,-2.455814520435386,-1.7629354795646137,44.0,2181_1_3 (5),0.8
2560,2560,1.0,17.841015625,-10.462890625,23.085552649926964,-11.357583224539468,-9.568198025460532,80.0,2181_2_1 (4),0.8
2560,2560,1.0,10.845703125,-6.830859375,18.058930086936687,-7.530742602808887,-6.130976147191113,88.0,2181_3_1 (3),0.8
2560,2560,1.0,5.5234375,-4.7625,5.444006064658981,-4.973485286415215,-4.551514713584785,35.0,2181_3_2 (2),0.8
2560,2560,1.0,29.4828125,-28.94921875,30.482824319965555,-30.130596460367318,-27.767841039632682,125.0,2181_3_2 (4),0.8
2560,2560,1.0,14.479296875,-11.860546875,20.924614082358904,-12.67149117646835,-11.04960257353165,96.0,2181_3_3 (1),0.8
2559,2560,0.999609375,5.200859710824541,1.4275107463853067,8.184977926693458,1.1102356373736324,1.744785855396981,52.0,2303_01 (4),0.8
2559,2560,0.999609375,3.3813989839781167,-0.21219226260257915,5.743874583519291,-0.4348426412544458,0.010458116049287508,36.0,2303_02 (8),0.8
2560,2560,1.0,4.15703125,-1.47890625,8.222598244971138,-1.7975773214844062,-1.160235178515594,87.0,2303_04 (3),0.8
2560,2560,1.0,4.683203125,-3.812109375,5.191322930318656,-4.013301795125595,-3.610916954874405,35.0,2303_05 (4),0.8
2560,2560,1.0,3.64765625,-2.15078125,5.136122769878896,-2.3498343591986375,-1.9517281408013627,46.0,2303_06 (2),0.8
2560,2560,1.0,4.46015625,-4.1703125,6.64777737451413,-4.427950569599452,-3.912674430400547,63.0,2303_06 (4),0.8
2560,2560,1.0,5.023046875,-0.951171875,11.35409844842573,-1.3912058655348205,-0.5111378844651796,78.0,2303_08 (2),0.8
2560,2560,1.0,17.46171875,12.38125,26.269144566066544,11.363175639992573,13.399324360007427,124.0,2303_08 (5),0.8
2560,2560,1.0,3.619921875,-2.473046875,6.132704029075237,-2.7107230092118813,-2.235370740788119,42.0,2303_10 (5),0.8
2560,2560,1.0,3.61484375,-2.571875,6.128134690035021,-2.809374047100905,-2.334375952899095,40.0,2303_12 (1),0.8
2423,2560,0.946484375,3.858027238959967,-1.5815105241436236,7.087038554382016,-1.8638380778141521,-1.299182970473095,48.0,2303_12 (3),0.8
2560,2560,1.0,5.539453125,3.161328125,9.614661923826866,2.788706901641545,3.5339493483584548,64.0,2303_14 (2),0.8
2560,2560,1.0,4.05,0.915625,7.7146190957237994,0.6166409246401328,1.2146090753598673,39.0,2303_14 (3),0.8
2560,2560,1.0,5.636328125,-5.232421875,6.746359618819476,-5.4938805507492585,-4.9709631992507415,34.0,2303_14 (5),0.8
2560,2560,1.0,2.80625,-1.68125,3.9731366414201106,-1.835230976931428,-1.527269023068572,25.0,2303_18 (2),0.8
