W,total_columns,coverage,MAE,Bias,Std,CI95_lower,CI95_upper,MaxAbsError,image,threshold
2560,2560,1.0,4.940234375,2.048828125,8.074266855979978,1.7359057136417886,2.3617505363582114,54.0,2181_1_3 (5),0.6
2560,2560,1.0,13.737890625,-2.994140625,20.81531690328174,-3.80084905744872,-2.18743219255128,74.0,2181_2_1 (4),0.6
2560,2560,1.0,7.75390625,1.20859375,11.422070785574569,0.7659254561871656,1.6512620438128343,47.0,2181_3_1 (3),0.6
2560,2560,1.0,3.701953125,-1.313671875,4.964552797586253,-1.5060757006904124,-1.1212680493095877,27.0,2181_3_2 (2),0.6
2560,2560,1.0,21.3484375,-20.3015625,25.93112585109701,-21.30653676890824,-19.296588231091757,110.0,2181_3_2 (4),0.6
2560,2560,1.0,12.1859375,-3.79453125,22.61810583972631,-4.671107705295194,-2.9179547947048055,103.0,2181_3_3 (1),0.6
2559,2560,0.999609375,5.97538100820633,4.45916373583431,8.299266681302553,4.137458440522542,4.780869031146079,66.0,2303_01 (4),0.6
2559,2560,0.999609375,4.115670183665494,3.0769831965611565,6.971342946844359,2.806752340323363,3.34721405279895,46.0,2303_02 (8),0.6
2560,2560,1.0,4.246484375,2.174609375,6.746540358079436,1.9131436946067208,2.4360750553932795,50.0,2303_04 (3),0.6
2560,2560,1.0,3.302734375,-1.194921875,4.854415650003532,-1.3830572782544885,-1.0067864717455113,24.0,2303_05 (4),0.6
2560,2560,1.0,2.80546875,1.034375,3.9654119570428272,0.8806933972291536,1.1880566027708466,23.0,2303_06 (2),0.6
2560,2560,1.0,2.57109375,-1.36484375,4.099735308104912,-1.5237311241016431,-1.2059563758983567,33.0,2303_06 (4),0.6
2560,2560,1.0,5.495703125,2.462890625,8.889809459994286,2.118361435866726,2.807419814133274,49.0,2303_08 (2),0.6
2560,2560,1.0,24.30703125,21.8484375,30.77836916568865,20.655605795426425,23.041269204573574,139.0,2303_08 (5),0.6
2560,2560,1.0,2.584375,0.32578125,4.214931794726107,0.1624293761466796,0.4891331238533204,30.0,2303_10 (5),0.6
2560,2560,1.0,2.83671875,0.33984375,4.640930089701742,0.15998209066695715,0.5197054093330429,28.0,2303_12 (1),0.6
2423,2560,0.946484375,4.060255881139084,1.4271564176640528,8.645149022048491,1.0827581537371613,1.7715546815909442,71.0,2303_12 (3),0.6
2560,2560,1.0,7.287109375,6.633984375,10.999343533634923,6.207699095692788,7.060269654307212,64.0,2303_14 (2),0.6
2560,2560,1.0,4.16875,3.2375,8.32158452762515,2.914992663649448,3.5600073363505516,47.0,2303_14 (3),0.6
2560,2560,1.0,3.760546875,-2.524609375,5.614433529460577,-2.7421996664514166,-2.307019083548583,30.0,2303_14 (5),0.6
2560,2560,1.0,2.338671875,0.965234375,4.094903181635619,0.8065342724728204,1.1239344775271796,30.0,2303_18 (2),0.6
