epoch,train_loss,val_loss,val_dice,val_iou,train_lr,vepoch_time_sec
1,0.24335067792637655,0.15397739989662562,0.8788639454396217,0.8524014316089861,1e-05,310.64910662500006
2,0.15621854537629593,0.12326707308190865,0.8982064841867803,0.8777277967432043,1e-05,307.1882384000003
3,0.1484037685267932,0.13191318587696815,0.8958526869396587,0.8686713330693298,1e-05,306.722138867
4,0.13491144691163684,0.11856572945080288,0.9018867870608529,0.8794087530983673,1e-05,306.86842300900025
5,0.12968506926115145,0.11256056949291583,0.9073829169456775,0.8843880253178733,1e-05,306.77187626800014
6,0.12638329597113773,0.11362214654602193,0.9038697281381586,0.879306442462481,1e-05,307.5852339879998
7,0.12139503798115323,0.11217147173298585,0.9064232911709901,0.884015346785168,1e-05,306.7896145469999
8,0.12118685021996498,0.10953626793983219,0.9079966936465148,0.8865285455198079,1e-05,309.68810550199987
9,0.11458032691513585,0.10350049149940957,0.9111008632641572,0.8899338066905409,1e-05,309.3056816570006
10,0.11263414899987435,0.10668269811955454,0.9090722961412682,0.8888017572871931,1e-05,309.07280242399975
11,0.11000643909326074,0.12134568648064857,0.8984239933254955,0.8704875100117463,1e-05,309.08294548899994
12,0.10709556751388905,0.10495415615470527,0.9096209487089744,0.8883895800336377,1e-05,309.33443140799955
13,0.10906227314463485,0.10945386484592826,0.9042753980054961,0.8865907382179092,1e-05,309.2093503269998
14,0.10359887289024933,0.11073852450187717,0.908790932579355,0.8851452949610386,1e-05,309.4844897819994
15,0.10470225333034644,0.10453295747616462,0.9101087005583794,0.8892098193640238,1e-05,309.4264588699998
16,0.1009613305765983,0.10130478262614745,0.913099039714415,0.8928629402275924,1e-05,309.27422183700037
17,0.09888587206253531,0.10033884714101697,0.9143892418552231,0.8927803866483353,1e-05,309.55464212600054
18,0.09746620450713481,0.10229101065791897,0.9132178152328009,0.8892294242159351,1e-05,309.34402638400024
19,0.09883316071235645,0.10158142832793542,0.9138794431647101,0.8903159513905808,1e-05,311.9507250730003
20,0.09649716717632194,0.10256122608392776,0.9097982764571577,0.8908100265723008,1e-05,312.04368683699977
