W,total_columns,coverage,MAE,Bias,Std,CI95_lower,CI95_upper,MaxAbsError,image,threshold
2560,2560,1.0,5.1515625,2.8375,8.079141559063032,2.5243886669885147,3.150611333011485,56.0,2181_1_3 (5),0.55
2560,2560,1.0,13.24765625,-1.51796875,20.46196801359179,-2.3109829624551566,-0.7249545375448434,75.0,2181_2_1 (4),0.55
2560,2560,1.0,7.710546875,2.691015625,10.974527210895538,2.2656921151873024,3.1163391348126974,50.0,2181_3_1 (3),0.55
2560,2560,1.0,3.59375,-0.71171875,5.009613596387587,-0.9058689303836804,-0.5175685696163195,27.0,2181_3_2 (2),0.55
2560,2560,1.0,19.488671875,-18.282421875,24.71359041075127,-19.24020992468824,-17.32463382531176,107.0,2181_3_2 (4),0.55
2560,2560,1.0,12.11015625,-1.92109375,23.139484456011463,-2.8178765047337277,-1.0243109952662723,107.0,2181_3_3 (1),0.55
2559,2560,0.999609375,6.262993356779992,5.0343884329816335,8.436743741752167,4.707354100776741,5.361422765186526,69.0,2303_01 (4),0.55
2559,2560,0.999609375,4.6357952325127005,3.927706135209066,7.359463216899496,3.6424305345511576,4.212981735866974,47.0,2303_02 (8),0.55
2560,2560,1.0,4.611328125,2.974609375,6.758589099480848,2.7126767393672653,3.2365420106327347,42.0,2303_04 (3),0.55
2560,2560,1.0,3.15859375,-0.68671875,4.846561183941794,-0.8745497493372277,-0.49888775066277236,25.0,2303_05 (4),0.55
2560,2560,1.0,2.91484375,1.57890625,3.9690115066324974,1.425085144812712,1.732727355187288,25.0,2303_06 (2),0.55
2560,2560,1.0,2.41640625,-0.8109375,3.827181826194596,-0.959261922157556,-0.6626130778424439,28.0,2303_06 (4),0.55
2560,2560,1.0,5.725390625,3.283203125,8.415399218991105,2.9570599514933704,3.6093462985066296,55.0,2303_08 (2),0.55
2560,2560,1.0,26.21484375,24.17578125,31.732917873454124,22.94595551380464,25.40560698619536,143.0,2303_08 (5),0.55
2560,2560,1.0,2.609375,0.89140625,3.975885249352889,0.7373187493386104,1.0454937506613895,29.0,2303_10 (5),0.55
2560,2560,1.0,2.869140625,0.989453125,4.290757045965313,0.8231626040988623,1.1557436459011377,22.0,2303_12 (1),0.55
2423,2560,0.946484375,4.3066446553858855,2.0705736690053653,9.104787986921377,1.7078646898864451,2.4332826481242855,73.0,2303_12 (3),0.55
2560,2560,1.0,7.840234375,7.347265625,11.38811006032788,6.905913496756774,7.788617753243226,65.0,2303_14 (2),0.55
2560,2560,1.0,4.380078125,3.698046875,8.518457770968277,3.367909613711655,4.0281841362883455,50.0,2303_14 (3),0.55
2560,2560,1.0,3.556640625,-1.984765625,5.483586146130111,-2.197284858057879,-1.7722463919421212,30.0,2303_14 (5),0.55
2560,2560,1.0,2.499609375,1.482421875,4.37903318185713,1.3127101665407381,1.6521335834592619,40.0,2303_18 (2),0.55
