W,total_columns,coverage,MAE,Bias,Std,CI95_lower,CI95_upper,MaxAbsError,image,threshold
2560,2560,1.0,6.319140625,-3.827734375,9.631122025651399,-4.200993518165418,-3.454475231834582,48.0,2181_1_3 (5),0.85
2560,2560,1.0,19.8984375,-13.4453125,24.142021043210136,-14.380949081581015,-12.509675918418985,82.0,2181_2_1 (4),0.85
2560,2560,1.0,13.079296875,-10.268359375,21.39390918414663,-11.09749145221436,-9.439227297785639,101.0,2181_3_1 (3),0.85
2560,2560,1.0,6.826171875,-6.358984375,5.9875177364044045,-6.591033738929318,-6.126935011070683,37.0,2181_3_2 (2),0.85
2560,2560,1.0,32.408984375,-31.980859375,31.796859504810378,-33.21316320237405,-30.748555547625955,125.0,2181_3_2 (4),0.85
2560,2560,1.0,16.58984375,-15.05,21.34619092802273,-15.877282731380438,-14.222717268619563,98.0,2181_3_3 (1),0.85
2559,2560,0.999609375,5.196561156701836,0.16412661195779601,8.20179109576966,-0.1538002275898994,0.4820534515054914,45.0,2303_01 (4),0.85
2559,2560,0.999609375,3.6330597889800704,-1.4525205158264947,5.220395934685784,-1.65487923983232,-1.2501617918206693,33.0,2303_02 (8),0.85
2560,2560,1.0,4.5921875,-2.8625,8.714964469540519,-3.2002529805929067,-2.524747019407093,90.0,2303_04 (3),0.85
2560,2560,1.0,5.55234375,-4.9703125,5.528205546564317,-5.184560981127862,-4.756064018872139,41.0,2303_05 (4),0.85
2560,2560,1.0,4.572265625,-3.544921875,5.96979612724337,-3.7762844287494297,-3.3135593212505703,49.0,2303_06 (2),0.85
2560,2560,1.0,5.475,-5.33359375,7.486476303792394,-5.62373603280352,-5.043451467196481,67.0,2303_06 (4),0.85
2560,2560,1.0,5.233984375,-2.310546875,12.172142187051366,-2.7822845760825627,-1.8388091739174373,81.0,2303_08 (2),0.85
2560,2560,1.0,15.51953125,9.11171875,24.30431054190492,8.169792554491737,10.053644945508262,108.0,2303_08 (5),0.85
2560,2560,1.0,4.355078125,-3.570703125,6.719676005372912,-3.831127663432226,-3.310278586567774,44.0,2303_10 (5),0.85
2560,2560,1.0,4.39765625,-3.815625,6.549805428621072,-4.069466115882025,-3.5617838841179745,43.0,2303_12 (1),0.85
2423,2560,0.946484375,4.333883615352868,-2.8233594717292614,6.783985546132316,-3.0936142514484293,-2.5531046920100935,47.0,2303_12 (3),0.85
2560,2560,1.0,5.366796875,1.895703125,9.38006401429231,1.5321738656378527,2.2592323843621474,63.0,2303_14 (2),0.85
2560,2560,1.0,4.30859375,-0.06875,7.43416855172725,-0.35686506866743606,0.21936506866743602,38.0,2303_14 (3),0.85
2560,2560,1.0,6.62421875,-6.38203125,7.350180657675628,-6.666891324152105,-6.097171175847895,41.0,2303_14 (5),0.85
2560,2560,1.0,3.5,-2.82578125,4.218453405622071,-2.989269605715152,-2.662292894284848,31.0,2303_18 (2),0.85
