W,total_columns,coverage,MAE,Bias,Std,CI95_lower,CI95_upper,MaxAbsError,image,threshold
2560,2560,1.0,6.297265625,5.130859375,8.451899673609528,4.80330160739107,5.45841714260893,62.0,2181_1_3 (5),0.4
2560,2560,1.0,12.796484375,3.064453125,20.352773542425023,2.2756708010659894,3.8532354489340106,78.0,2181_2_1 (4),0.4
2560,2560,1.0,8.96015625,6.84765625,11.42035960451697,6.405054273899023,7.290258226100977,62.0,2181_3_1 (3),0.4
2560,2560,1.0,3.687890625,1.164453125,5.208575204426829,0.9625920840185879,1.3663141659814122,28.0,2181_3_2 (2),0.4
2560,2560,1.0,14.758203125,-12.725390625,20.82604358223909,-13.532514775470561,-11.918266474529437,95.0,2181_3_2 (4),0.4
2560,2560,1.0,12.668359375,4.074609375,24.85274136321096,3.111428457778006,5.0377902922219935,123.0,2181_3_3 (1),0.4
2559,2560,0.999609375,7.387260648690895,6.697928878468152,9.038262402955656,6.347577818898181,7.048279938038123,74.0,2303_01 (4),0.4
2559,2560,0.999609375,6.683860883157483,6.480656506447831,8.64739726594121,6.145456590847434,6.815856422048228,55.0,2303_02 (8),0.4
2560,2560,1.0,6.694140625,6.121484375,7.855007347521145,5.817059479927039,6.42590927007296,51.0,2303_04 (3),0.4
2560,2560,1.0,3.146875,0.871875,4.9605704001458,0.6796255141936021,1.0641244858063978,26.0,2303_05 (4),0.4
2560,2560,1.0,3.755859375,3.176171875,4.224343123825714,3.0124552601926755,3.3398884898073247,31.0,2303_06 (2),0.4
2560,2560,1.0,2.58125,0.91953125,3.7772805241946665,0.7731407787546767,1.0659217212453234,31.0,2303_06 (4),0.4
2560,2560,1.0,6.66484375,5.71796875,7.96834234048329,5.4091514983302655,6.026786001669734,71.0,2303_08 (2),0.4
2560,2560,1.0,32.746484375,31.851171875,34.49820207289022,30.514176111455665,33.188167638544336,159.0,2303_08 (5),0.4
2560,2560,1.0,3.222265625,2.587109375,3.734474156978763,2.4423778867793415,2.731840863220658,30.0,2303_10 (5),0.4
2560,2560,1.0,3.442578125,2.760546875,3.880604531971537,2.6101520280953827,2.9109417219046176,24.0,2303_12 (1),0.4
2423,2560,0.946484375,5.312835328105654,4.082955014444903,10.55026750969147,3.6626622230730934,4.503247805816713,91.0,2303_12 (3),0.4
2560,2560,1.0,9.631640625,9.437109375,12.505127898703975,8.95246663947942,9.92175211052058,66.0,2303_14 (2),0.4
2560,2560,1.0,5.353515625,5.127734375,9.02909263534567,4.777807193966037,5.477661556033963,54.0,2303_14 (3),0.4
2560,2560,1.0,3.22890625,-0.2875,5.084683418944297,-0.4845595504000159,-0.09044044959998404,26.0,2303_14 (5),0.4
2560,2560,1.0,3.442578125,3.108203125,5.440179773940573,2.897366128471597,3.3190401215284036,55.0,2303_18 (2),0.4
