W,total_columns,coverage,MAE,Bias,Std,CI95_lower,CI95_upper,MaxAbsError,image,threshold
2560,2560,1.0,4.825390625,0.290234375,8.208340192395616,-0.02788411824135484,0.6083528682413548,49.0,2181_1_3 (5),0.7
2560,2560,1.0,15.1953125,-6.14140625,21.649927200055032,-6.980460438573595,-5.302352061426405,75.0,2181_2_1 (4),0.7
2560,2560,1.0,8.58203125,-2.10859375,13.543783817124154,-2.633490135834702,-1.5836973641652978,56.0,2181_3_1 (3),0.7
2560,2560,1.0,4.19453125,-2.68203125,4.974384303008876,-2.874816100796345,-2.489246399203655,31.0,2181_3_2 (2),0.7
2560,2560,1.0,25.00234375,-24.23046875,28.096662431609538,-25.31936951536241,-23.14156798463759,115.0,2181_3_2 (4),0.7
2560,2560,1.0,12.734765625,-7.281640625,21.516408100553864,-8.115520211430326,-6.4477610385696735,93.0,2181_3_3 (1),0.7
2559,2560,0.999609375,5.525595935912466,3.2098475967174678,8.198626666604545,2.8920434202505176,3.527651773184418,61.0,2303_01 (4),0.7
2559,2560,0.999609375,3.458772958186792,1.5158264947245017,6.24321708643357,1.273820053238353,1.7578329362106504,39.0,2303_02 (8),0.7
2560,2560,1.0,3.905078125,0.570703125,7.238773705364302,0.2901606852264897,0.8512455647735102,67.0,2303_04 (3),0.7
2560,2560,1.0,3.74375,-2.29609375,4.898084453737372,-2.4859215604549516,-2.106265939545048,26.0,2303_05 (4),0.7
2560,2560,1.0,2.873046875,-0.207421875,4.219312998848145,-0.3709435446976955,-0.04390020530230451,32.0,2303_06 (2),0.7
2560,2560,1.0,3.249609375,-2.544140625,5.256195737792486,-2.747847224519016,-2.3404340254809837,48.0,2303_06 (4),0.7
2560,2560,1.0,5.158203125,0.927734375,10.125388772574109,0.5353196669938334,1.3201490830061666,64.0,2303_08 (2),0.7
2560,2560,1.0,20.974609375,17.515234375,28.967752386663395,16.392574065383304,18.637894684616693,128.0,2303_08 (5),0.7
2560,2560,1.0,2.808984375,-0.827734375,4.909060888191973,-1.0179875828809863,-0.6374811671190138,35.0,2303_10 (5),0.7
2560,2560,1.0,2.996875,-0.9484375,5.3984349891575985,-1.1576566556830463,-0.7392183443169537,35.0,2303_12 (1),0.7
2423,2560,0.946484375,3.7598018984729675,0.1560049525381758,7.855608328851789,-0.15694024524224603,0.46895015031859766,61.0,2303_12 (3),0.7
2560,2560,1.0,6.2859375,5.08359375,10.258253969212976,4.686029782196082,5.481157717803919,64.0,2303_14 (2),0.7
2560,2560,1.0,3.955078125,2.285546875,8.065632135218552,1.9729591067357395,2.5981346432642605,42.0,2303_14 (3),0.7
2560,2560,1.0,4.40546875,-3.6453125,5.998565145288206,-3.8777900120062694,-3.412834987993731,33.0,2303_14 (5),0.7
2560,2560,1.0,2.28359375,-0.11015625,3.8626747631289344,-0.2598562193880085,0.03954371938800853,23.0,2303_18 (2),0.7
