W,total_columns,coverage,MAE,Bias,Std,CI95_lower,CI95_upper,MaxAbsError,image,threshold
2560,2560,1.0,5.4578125,3.58828125,8.148774135122192,3.272471270288056,3.9040912297119443,58.0,2181_1_3 (5),0.5
2560,2560,1.0,12.908984375,-0.140234375,20.19578511870515,-0.9229325309244579,0.6424637809244579,76.0,2181_2_1 (4),0.5
2560,2560,1.0,7.9140625,3.9875,10.956049181945911,3.5628926158095044,4.412107384190495,54.0,2181_3_1 (3),0.5
2560,2560,1.0,3.54140625,-0.15625,5.045223386059365,-0.3517802563027466,0.03928025630274662,26.0,2181_3_2 (2),0.5
2560,2560,1.0,17.915234375,-16.522265625,23.55224776323506,-17.435045236379718,-15.609486013620279,103.0,2181_3_2 (4),0.5
2560,2560,1.0,12.0765625,-0.03671875,23.61032940734891,-0.9517493457051013,0.8783118457051012,110.0,2181_3_3 (1),0.5
2559,2560,0.999609375,6.5326299335678,5.507229386479094,8.560907573942249,5.175382079365016,5.839076693593172,70.0,2303_01 (4),0.5
2559,2560,0.999609375,5.194607268464244,4.683470105509965,7.776129016460215,4.382043247248059,4.984896963771871,48.0,2303_02 (8),0.5
2560,2560,1.0,5.03671875,3.7265625,6.916365043306377,3.4585151756064354,3.9946098243935646,40.0,2303_04 (3),0.5
2560,2560,1.0,3.103515625,-0.222265625,4.867069640477514,-0.4108914402365361,-0.03363980976346384,26.0,2303_05 (4),0.5
2560,2560,1.0,3.1171875,2.07109375,4.0131213537837835,1.915563144745223,2.2266243552547773,26.0,2303_06 (2),0.5
2560,2560,1.0,2.33671875,-0.3140625,3.654024196585207,-0.455676108164294,-0.17244889183570605,26.0,2303_06 (4),0.5
2560,2560,1.0,5.985546875,4.034765625,8.147667667320894,3.7189985270231594,4.350532722976841,62.0,2303_08 (2),0.5
2560,2560,1.0,28.069140625,26.389453125,32.53896401944181,25.128388651199423,27.650517598800576,146.0,2303_08 (5),0.5
2560,2560,1.0,2.708984375,1.405078125,3.836993884909277,1.2563734314037918,1.5537828185962081,29.0,2303_10 (5),0.5
2560,2560,1.0,2.9640625,1.5625,4.0901333829435975,1.40398475350186,1.72101524649814,22.0,2303_12 (1),0.5
2423,2560,0.946484375,4.564176640528271,2.640940982253405,9.531979696483322,2.2612138947407634,3.0206680697660464,83.0,2303_12 (3),0.5
2560,2560,1.0,8.368359375,7.990234375,11.734039085282339,7.5354755874800405,8.44499316251996,66.0,2303_14 (2),0.5
2560,2560,1.0,4.647265625,4.150390625,8.724095795213964,3.812283755131497,4.488497494868502,52.0,2303_14 (3),0.5
2560,2560,1.0,3.381640625,-1.466796875,5.329809469923645,-1.6733564129936096,-1.2602373370063904,30.0,2303_14 (5),0.5
2560,2560,1.0,2.723046875,1.989453125,4.699268491891096,1.8073305305488223,2.171575719451178,44.0,2303_18 (2),0.5
