W,total_columns,coverage,MAE,Bias,Std,CI95_lower,CI95_upper,MaxAbsError,image,threshold
2560,2560,1.0,11.126953125,-10.269140625,12.378452614929095,-10.748873994015192,-9.789407255984809,62.0,2181_1_3 (5),0.95
2560,2560,1.0,28.65546875,-23.58203125,28.313827550747465,-24.679348362500257,-22.484714137499743,98.0,2181_2_1 (4),0.95
2560,2560,1.0,22.5890625,-21.7328125,29.599549834919035,-22.879958448316103,-20.5856665516839,148.0,2181_3_1 (3),0.95
2560,2560,1.0,13.46640625,-13.36171875,10.798684454444388,-13.780227382332171,-12.943210117667828,77.0,2181_3_2 (2),0.95
2560,2560,1.0,42.52109375,-42.39140625,36.113211609195865,-43.79099254807603,-40.99181995192398,134.0,2181_3_2 (4),0.95
2560,2560,1.0,26.974609375,-26.677734375,24.075359825079733,-27.610787466402464,-25.744681283597536,115.0,2181_3_3 (1),0.95
2559,2560,0.999609375,6.8065650644783116,-4.634622899570145,9.14635096045142,-4.9891638065861965,-4.280081992554093,55.0,2303_01 (4),0.95
2559,2560,0.999609375,6.123094958968347,-5.675263774912075,5.137710470700683,-5.874417354098389,-5.476110195725761,44.0,2303_02 (8),0.95
2560,2560,1.0,7.567578125,-7.141796875,10.430018145749429,-7.546017652798616,-6.737576097201384,98.0,2303_04 (3),0.95
2560,2560,1.0,9.1171875,-8.95625,7.2222870509409915,-9.236153490906773,-8.676346509093229,52.0,2303_05 (4),0.95
2560,2560,1.0,8.865234375,-8.630859375,8.514570692152297,-8.960845990527197,-8.300872759472803,55.0,2303_06 (2),0.95
2560,2560,1.0,9.133203125,-9.129296875,9.743690711875903,-9.506918676146025,-8.751675073853974,78.0,2303_06 (4),0.95
2560,2560,1.0,6.97578125,-6.21171875,13.488988582857948,-6.734491518032199,-5.688945981967802,83.0,2303_08 (2),0.95
2560,2560,1.0,12.702734375,-0.561328125,19.283009501767154,-1.3086511871635085,0.18599493716350868,102.0,2303_08 (5),0.95
2560,2560,1.0,7.555078125,-7.323828125,7.845682063129203,-7.627891613826353,-7.019764636173647,50.0,2303_10 (5),0.95
2560,2560,1.0,8.233203125,-8.183984375,7.911841910868618,-8.490611923134644,-7.877356826865355,51.0,2303_12 (1),0.95
2423,2560,0.946484375,7.617416425918283,-7.319438712340074,7.058407805008421,-7.600625698004887,-7.038251726675261,54.0,2303_12 (3),0.95
2560,2560,1.0,6.126953125,-2.520703125,9.140920597009599,-2.8749642568489815,-2.166441993151018,60.0,2303_14 (2),0.95
2560,2560,1.0,5.693359375,-3.468359375,6.76725898003919,-3.7306280163629015,-3.2060907336370983,41.0,2303_14 (3),0.95
2560,2560,1.0,10.616015625,-10.556640625,9.579917999760315,-10.927915329511249,-10.185365920488751,60.0,2303_14 (5),0.95
2560,2560,1.0,7.172265625,-7.044140625,6.116365790591669,-7.281183562282077,-6.807097687717922,44.0,2303_18 (2),0.95
