W,total_columns,coverage,MAE,Bias,Std,CI95_lower,CI95_upper,MaxAbsError,image,threshold
2560,2560,1.0,325.504296875,325.504296875,66.30546135753842,322.93459423520517,328.0739995147949,497.0,2181_1_3 (5),0.25
2560,2560,1.0,721.85859375,721.85859375,132.8757272584636,716.7089258326089,727.008261667391,1014.0,2181_2_1 (4),0.25
2560,2560,1.0,475.9125,475.9125,103.86398882706357,471.8871970942661,479.9378029057339,738.0,2181_3_1 (3),0.25
2560,2560,1.0,456.070703125,456.070703125,87.52159606820064,452.67875815016964,459.4626480998304,684.0,2181_3_2 (2),0.25
2560,2560,1.0,396.95703125,396.95703125,91.53988377631342,393.40935544516583,400.50470705483417,590.0,2181_3_2 (4),0.25
2560,2560,1.0,680.6328125,680.6328125,139.3720226762358,675.2313772750274,686.0342477249726,980.0,2181_3_3 (1),0.25
2559,2560,0.999609375,131.47909339585775,131.47909339585775,25.937109174475225,130.47369066728817,132.48449612442732,245.0,2303_01 (4),0.25
2559,2560,0.999609375,132.16295427901525,132.16295427901525,25.666144940687154,131.16805496384316,133.15785359418734,222.0,2303_02 (8),0.25
2560,2560,1.0,328.623828125,328.623828125,76.7869184856473,325.6479111628922,331.59974508710775,496.0,2303_04 (3),0.25
2560,2560,1.0,408.590234375,408.590234375,91.78398437288504,405.0330983245912,412.14737042540884,572.0,2303_05 (4),0.25
2560,2560,1.0,335.102734375,335.102734375,58.61215666142202,332.83118975992284,337.3742789900772,446.0,2303_06 (2),0.25
2560,2560,1.0,284.942578125,284.942578125,78.24359153720529,281.91020704117636,287.97494920882366,450.0,2303_06 (4),0.25
2560,2560,1.0,402.320703125,402.320703125,114.8474287414593,397.8697312929939,406.77167495700616,684.0,2303_08 (2),0.25
2560,2560,1.0,563.765625,563.765625,109.03247340108982,559.5400147865166,567.9912352134834,843.0,2303_08 (5),0.25
2560,2560,1.0,369.8546875,369.8546875,80.79048677004029,366.7236101668102,372.9857648331898,577.0,2303_10 (5),0.25
2560,2560,1.0,706.00859375,706.00859375,130.3248141185859,700.9577877980522,711.0593997019479,952.0,2303_12 (1),0.25
2423,2560,0.946484375,512.5625257944697,512.5625257944697,111.9276085009079,508.1036467219529,517.0214048669866,765.0,2303_12 (3),0.25
2560,2560,1.0,332.391015625,332.391015625,67.05246787383459,329.79236235915465,334.9896688908454,480.0,2303_14 (2),0.25
2560,2560,1.0,267.434765625,267.434765625,65.24266515052466,264.9062522049589,269.96327904504113,432.0,2303_14 (3),0.25
2560,2560,1.0,210.740625,210.740625,52.97969327553855,208.68736943283707,212.79388056716292,315.0,2303_14 (5),0.25
2560,2560,1.0,561.52890625,561.52890625,104.87887999453824,557.4642707092347,565.5935417907652,821.0,2303_18 (2),0.25
